goos: darwin
goarch: arm64
pkg: gol-wildfire/internal/bench
cpu: Apple M1
BenchmarkSnapshotEmpreinte/size=128-8         	   28130	     41010 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29174	     41055 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   28988	     41040 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29163	     42150 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   28830	     41546 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   28894	     41244 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29035	     41230 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29143	     41359 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29134	     42177 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   27480	     41199 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     451	   2637514 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     452	   2638494 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     453	   2638767 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     453	   2640756 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     452	   2643765 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     452	   2644252 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     451	   2646190 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-8          	      19	  59955656 ns/op	         0 %evites	       201.0 snapshots/op	   68575 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-8          	      19	  60224721 ns/op	         0 %evites	       201.0 snapshots/op	   75951 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-8          	      19	  60171081 ns/op	         0 %evites	       201.0 snapshots/op	   68621 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-8          	      19	  60530923 ns/op	         0 %evites	       201.0 snapshots/op	   68621 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-8          	      19	  59908208 ns/op	         0 %evites	       201.0 snapshots/op	   56539 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-8          	      19	  60413114 ns/op	         0 %evites	       201.0 snapshots/op	   68612 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-8          	      19	  60492765 ns/op	         0 %evites	       201.0 snapshots/op	   68612 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-8          	      19	  60152708 ns/op	         0 %evites	       201.0 snapshots/op	   68612 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-8          	      19	  60411557 ns/op	         0 %evites	       201.0 snapshots/op	   56539 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-8          	      19	  60352292 ns/op	         0 %evites	       201.0 snapshots/op	   56549 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-8          	      19	  60078704 ns/op	         0 %evites	       201.0 snapshots/op	   56539 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=12-8         	      51	  22517848 ns/op	        72.64 %evites	       201.0 snapshots/op	   20106 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=12-8         	      52	  22475810 ns/op	        72.64 %evites	       201.0 snapshots/op	   20022 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=12-8         	      51	  22492217 ns/op	        72.64 %evites	       201.0 snapshots/op	   20110 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=12-8         	      51	  22562148 ns/op	        72.64 %evites	       201.0 snapshots/op	   15612 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=12-8         	      51	  22476481 ns/op	        72.64 %evites	       201.0 snapshots/op	   20106 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=12-8         	      51	  22499541 ns/op	        72.64 %evites	       201.0 snapshots/op	   20113 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=12-8         	      51	  22529298 ns/op	        72.64 %evites	       201.0 snapshots/op	   20106 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=12-8         	      51	  22535258 ns/op	        72.64 %evites	       201.0 snapshots/op	   15609 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=12-8         	      51	  22541605 ns/op	        72.64 %evites	       201.0 snapshots/op	   20113 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=12-8         	      51	  22453066 ns/op	        72.64 %evites	       201.0 snapshots/op	   20113 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=16-8         	      51	  22577772 ns/op	        72.64 %evites	       201.0 snapshots/op	   15641 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=16-8         	      51	  22541392 ns/op	        72.64 %evites	       201.0 snapshots/op	   20138 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=16-8         	      51	  22491983 ns/op	        72.64 %evites	       201.0 snapshots/op	   15641 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=16-8         	      51	  22482368 ns/op	        72.64 %evites	       201.0 snapshots/op	   20138 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=16-8         	      51	  22445596 ns/op	        72.64 %evites	       201.0 snapshots/op	   20138 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=16-8         	      51	  22546869 ns/op	        72.64 %evites	       201.0 snapshots/op	   20138 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=16-8         	      51	  22474149 ns/op	        72.64 %evites	       201.0 snapshots/op	   15641 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=16-8         	      48	  33341691 ns/op	        72.64 %evites	       201.0 snapshots/op	   20430 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=16-8         	      51	  22557413 ns/op	        72.64 %evites	       201.0 snapshots/op	   20138 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=16-8         	      51	  22478021 ns/op	        72.64 %evites	       201.0 snapshots/op	   20142 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=32-8         	      51	  22583613 ns/op	        72.64 %evites	       201.0 snapshots/op	   15769 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=32-8         	      51	  22551423 ns/op	        72.64 %evites	       201.0 snapshots/op	   20266 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=32-8         	      51	  22533306 ns/op	        72.64 %evites	       201.0 snapshots/op	   15769 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=32-8         	      51	  22478499 ns/op	        72.64 %evites	       201.0 snapshots/op	   20273 B/op	     332 allocs/op
